tmdb	title	tagline	release	runtime	genres	overview	poster	backdrop	trailers	slug
19913	(500) Days of Summer	This is not a love story. This is a story about love.	2009	1h 35min	Comedy Drama Romance 	Tom.. greeting-card writer and hopeless romantic.. is caught completely off-guard when his girlfriend.. Summer.. suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour.. and in doing so.. Tom rediscovers his true passions in life.	/f9mbM0YMLpYemcWx6o2WeiYQLDP.jpg	/sJ1YRRUMsxaeYwd7eNOiblIx5fW.jpg	PsD0NpFSADM TNEkwcY7OI0 r-xJ15AN9ts 	500-days-of-summer-19913
217316	1	The True Story of the Drivers Who Risked Their Lives and Changed the Sport Forever	2013	1h 52min	Documentary 	Set in the golden era of Grand Prix Racing '1' tells the story of a generation of charismatic drivers who raced on the edge.. risking their lives during Formula 1's deadliest period.. and the men who stood up and changed the sport forever.	/jo7KYaK7Rf7Ru6uhbDHAzMhjUG4.jpg	/nPqDbXYaMhR2XKQ9IU8bkX7YgO7.jpg	k59zcs00k0A 	1-217316
333371	10 Cloverfield Lane	Monsters come in many forms.	2016	1h 44min	Thriller Sci-Fi Drama Horror 	After getting in a car accident.. a woman is held in a shelter with two men.. who claim the outside world is affected by a widespread chemical attack.	/84Dhwz93vCin6T1PX6ctSvWEuNE.jpg	/9G8SmOBWuo0ME6FIwCockkwbNMq.jpg	yQy-ANhnUpE 	10-cloverfield-lane-333371
58547	10 Years	Who Got Fat? Who Didn't Change? Who Got Rich? Who Got Hot?	2011	1h 40min	Comedy Drama 	A group of friends reunite ten years after their high-school graduation.	/xAVXW93b6BXkmfXHJHYUoFehjb0.jpg	/m3i3asfpbMyIW7tGOfq9w7T0Q7F.jpg	pwAPIcDnUyA 	10-years-58547
7840	10..000 BC	The legend. The battle. The first hero.	2008	1h 49min	Adventure Action Drama Fantasy 	A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.	/peOt178DNroZYzm2ncz9aZLzgB4.jpg	/1oFMH3f5HJ9AJVnqQuNSWvYAP6q.jpg	xPTVv60hLjc 	10000-bc-7840
9282	11:14	Fate can change in seconds.	2003	1h 26min	Crime Drama Thriller Mystery 	Tells the seemingly random yet vitally connected story of a set of incidents that all converge one evening at 11:14pm. The story follows the chain of events of five different characters and five different storylines that all converge to tell the story of murder and deceit.	/pR2hj9MvnLeax2efwrEvRkHadgp.jpg	/8XPw0L1RlH5kjt61leLzXXRM3Md.jpg	XS8gh5qMlFw 	1114-9282
429351	12 Strong	The declassified true story of the horse soldiers	2018	2h 7min	Drama Action History War 	A team of CIA agents and special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.	/j18021qCeRi3yUBtqd2UFj1c0RQ.jpg	/x5EUEv1N9g4BCX9GQXKvv3nqMVo.jpg	-Denciie5oA Zxag9p-63RU XUDmmuxaS8A 	12-strong-429351
76203	12 Years a Slave	The extraordinary true story of Solomon Northup	2013	2h 7min	Drama History 	In the pre-Civil War United States.. Solomon Northup.. a free black man from upstate New York.. is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive.. but to retain his dignity. In the twelfth year of his unforgettable odyssey.. Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.	/xdANQijuNrJaw1HA61rDccME4Tm.jpg	/4Bb1kMIfrT2tYRZ9M6Jhqy6gkeF.jpg	z02Ie8wKKRg 	12-years-a-slave-76203
44115	127 Hours	There is no force more powerful than the will to live.	2010	1h 34min	Adventure Drama Thriller 	The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.	/dC4OeWxsQBqHEKnoUh9nF7S8Cm6.jpg	/viBWzktrBmhzRw4ehmUIrrN4C0z.jpg	Ba1IhHAqLgw OlhLOWTnVoQ 	127-hours-44115
44982	13	Spin. Aim. Survive.	2010	1h 37min	Drama Thriller 	A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power.. violence.. and chance where men gamble behind closed doors on the lives of other men.	/wl5kVo5hVSjJYCoQSuIYZtKsVn.jpg	/bUKuu0Z8rRpQECB9c6KUb2Lxa0k.jpg	Y41fFj-P4jI 	13-44982
58857	13 Assassins	Take up your sword.	2010	2h 7min	Adventure Drama Action 	A bravado period action film set at the end of Japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future.	/3AFEVmISqWoVWpeKDkCVM3Jpj7S.jpg	/bz95FrtRKCJ2ZKXJU7ZAXxvl4Xb.jpg	Xpm007vne54 	13-assassins-58857
300671	13 Hours: The Secret Soldiers of Benghazi	When everything went wrong.. six men had the courage to do what was right.	2016	2h 7min	Action History Thriller 	An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.	/4qnEeVPM8Yn5dIVC4k4yyjrUXeR.jpg	/ayDMYGUNVvXS76wQgFwTiUIDNb5.jpg	4CJBuUwd0Os Wpsqh73gB78 	13-hours-the-secret-soldiers-of-benghazi-300671
