id,tmdb,title,tagline,release_date,poster,backdrop,trailers
1,19913,(500) Days of Summer,This is not a love story. This is a story about love.,2009-07-17,f9mbM0YMLpYemcWx6o2WeiYQLDP,/sJ1YRRUMsxaeYwd7eNOiblIx5fW.jpg,PsD0NpFSADM TNEkwcY7OI0 r-xJ15AN9ts 
2,217316,1,The True Story of the Drivers Who Risked Their Lives and Changed the Sport Forever,2013-09-30,jo7KYaK7Rf7Ru6uhbDHAzMhjUG4,/nPqDbXYaMhR2XKQ9IU8bkX7YgO7.jpg,k59zcs00k0A 
3,333371,10 Cloverfield Lane,Monsters come in many forms.,2016-03-10,84Dhwz93vCin6T1PX6ctSvWEuNE,/9G8SmOBWuo0ME6FIwCockkwbNMq.jpg,yQy-ANhnUpE 
4,58547,10 Years,Who Got Fat? Who Didn't Change? Who Got Rich? Who Got Hot?,2011-09-12,xAVXW93b6BXkmfXHJHYUoFehjb0,/m3i3asfpbMyIW7tGOfq9w7T0Q7F.jpg,pwAPIcDnUyA 
5,7840,10..000 BC,The legend. The battle. The first hero.,2008-02-22,peOt178DNroZYzm2ncz9aZLzgB4,/1oFMH3f5HJ9AJVnqQuNSWvYAP6q.jpg,xPTVv60hLjc 
6,9282,11:14,Fate can change in seconds.,2003-09-05,pR2hj9MvnLeax2efwrEvRkHadgp,/8XPw0L1RlH5kjt61leLzXXRM3Md.jpg,XS8gh5qMlFw 
7,429351,12 Strong,The declassified true story of the horse soldiers,2018-01-16,j18021qCeRi3yUBtqd2UFj1c0RQ,/x5EUEv1N9g4BCX9GQXKvv3nqMVo.jpg,-Denciie5oA Zxag9p-63RU XUDmmuxaS8A 
8,76203,12 Years a Slave,The extraordinary true story of Solomon Northup,2013-10-18,xdANQijuNrJaw1HA61rDccME4Tm,/4Bb1kMIfrT2tYRZ9M6Jhqy6gkeF.jpg,z02Ie8wKKRg 
9,44115,127 Hours,There is no force more powerful than the will to live.,2010-11-05,dC4OeWxsQBqHEKnoUh9nF7S8Cm6,/viBWzktrBmhzRw4ehmUIrrN4C0z.jpg,Ba1IhHAqLgw OlhLOWTnVoQ 
10,44982,13,Spin. Aim. Survive.,2010-03-12,wl5kVo5hVSjJYCoQSuIYZtKsVn,/bUKuu0Z8rRpQECB9c6KUb2Lxa0k.jpg,Y41fFj-P4jI 
11,58857,13 Assassins,Take up your sword.,2010-09-09,3AFEVmISqWoVWpeKDkCVM3Jpj7S,/bz95FrtRKCJ2ZKXJU7ZAXxvl4Xb.jpg,Xpm007vne54 
12,300671,13 Hours: The Secret Soldiers of Benghazi,When everything went wrong.. six men had the courage to do what was right.,2016-01-13,4qnEeVPM8Yn5dIVC4k4yyjrUXeR,/ayDMYGUNVvXS76wQgFwTiUIDNb5.jpg,4CJBuUwd0Os Wpsqh73gB78 
13,2207,16 Blocks,For a New York cop and his witness.. the distance between life and death just got very short.,2006-03-01,mGqZRfZx9Ao48Exn0g2FpjBlViH,/nuLKWrO7AJscJJMwqe9LKfRovSZ.jpg,XqffzRFzdco 
14,16996,17 Again,Who says you're only young once?,2009-03-11,yEcfFXEWpuXcfsR9nKESVCFneqV,/5iuae5Ji6WU0DrKPSMNz2MjCZfI.jpg,2wn6pAIRjjY 
15,584,2 Fast 2 Furious,How Fast Do You Want It?,2003-06-05,osgUUpwst1TEaSDTBrrTE6KuCbW,/z3ioibdjWZOYeXjoiabFOFOfPI3.jpg,ZZGkV_xWGw4 bvrs6Gd1j0E 
16,136400,2 Guns,2 Guns.. 1 Bank.,2013-08-02,ptURGAFktibhk7DEAbMazlmNqWa,/swyPgOP2lffHfMjeZKNnNFR9P88.jpg,AK6EbfdnTHg qnWIR2jFklo 
17,269795,2:22,To save their future.. he must fight his fate.,2017-06-29,aQkXOiMi7yBR3XwDbGBzDI2Tqnq,/3zVBKPprJ9PeFBQbpT9uDiHGm61.jpg,I6DKNWM6EVo 
18,14161,2012,We Were Warned.,2009-10-10,6NGuxp2ysgv539S9EpfVngsUdD,/pvxmYJcgrLiYC6G2IQTn1PPNems.jpg,sFXGrTng0gQ ce0N3TEcFw0 
19,8065,21,They proved the Vegas Blackjack System was beatable...by beating the hell out of it.,2008-03-27,kOpjkOI1XQXHaY7IzDglPT1iUsT,/zqeO7ksCq9HBoROxyvfeYaUOJMr.jpg,2v9z9EACSnU 0DpvqzPdXoc 
20,64688,21 Jump Street,They thought the streets were mean. Then they went back to high school.,2012-03-14,8v3Sqv9UcIUC4ebmpKWROqPBINZ,/lxCUDgZ54myV7goBrkpFoHRt9Ms.jpg,RLoKtb4c4W0 Oj55KinxZx4 
21,470114,24 Hours to Live,Contracted to kill. Fighting to survive.,2017-10-26,w0MXP33x1bq48TDC7IaNqQ8nxcc,/jGjFwizX2YYoUOJkCymlfvS8aGp.jpg,da9xhQOcoHk 
22,170,28 Days Later,His fear began when he woke up alone. His terror began when he realised he wasn't.,2002-10-31,sQckQRt17VaWbo39GIu0TMOiszq,/veUl0QT8swshQ9Dz0fQ1k6ZkthD.jpg,MHMdWUeYudk 
23,1562,28 Weeks Later,When days turn to weeks... the horror returns.,2007-04-26,d7vvXpS5TG14gyZ2CZzJoxmGgVN,/PN7yjmQdmG0J62jsrtmrPi8ezK.jpg,WBQnM3m4SFY 
24,20453,3 Idiots,Don't be Stupid. Be an I.D.I.O.T.,2009-12-23,k1iWMypGjk1b59oCHLtyfd4hw99,/u7kuUaySqXBVAtqEl9vkTkAzHV9.jpg,xvszmNXdM4w K0eDlFX9GMc 
25,5176,3:10 to Yuma,Time waits for one man.,2007-09-06,xFKHHRlLkWxMbOdLkxlOEUbH8pO,/raVVNqnc636Pc0F65NmrqpxI6Wi.jpg,jX1m45CwvJ8 Kv6apbWxb5M 
26,1271,300,Spartans.. prepare for glory!,2007-03-07,im6ZMuKTdLxMsDpySHjV0k17lnJ,/6fS6Lonap7HSIcKSoBuqrDE88IM.jpg,UrIbxk7idYA 
27,53182,300: Rise of an Empire,Seize your glory!,2014-03-05,vWIq0BP43tgUy5faBbcTfCJX9fs,/jvSB3fDZlY7OBlqiq1bMhOT6XwF.jpg,2zqy21Z29ps 8RFWwgifCqw jGEERBDelH8 Fx8gzJIA_gs G3Rzy7YqUVU bsoJaQ2gZh4 
28,109410,42,The True Story Of An American Legend,2013-04-12,rRUpjEjg8XVSdPMbBQyUS9hE4zH,/4aYBwOO3paL45PbRcv59XJEsv6R.jpg,OS4zHpgK-mk HALfME0wjeU BpxSdXnykTA 
29,403119,47 Meters Down,No way out. No way up. No chance in hell.,2017-05-25,2IgdRUTdHyoI3nFORcnnYEKOGIH,/6j8B3BqTuNrpAJoa0JIc7nZzOUn.jpg,VNVZBg20APg fQdn0XB40kk 
30,64686,47 Ronin,For courage. For loyalty. For honor.,2013-12-06,xDHnmcroujCRG0ysYQaiswjbyHd,/nyt0jlofZyjhRqiQkEp0cdoKaS3.jpg,DEoDulGTElE NqyJCsNxxXU yWlyoXHMwo4 bRuKcntkX5Y vueoe5DuQyg 1HBOv6T13ls hMCH5kQVZjs 
31,1824,50 First Dates,Imagine having to win over the girl of your dreams... every friggin' day.,2004-02-13,zm9dfA5iwq4vGopD86WPoHXO40T,/lwgI787F1s5mzsOKL4bd4dZgnmy.jpg,ErjP5xMTc8I Vi1uewVWxos 
32,40807,50/50,It takes a pair to beat the odds,2011-09-30,8f9tM9JVB4ETBhxlQcXIjLckArl,/rNH9k1TNIscyXHvN16SJc1uuosv.jpg,GWPfFDAFvNk 
33,65,8 Mile,Every Moment Is Another Chance,2002-11-08,7BmQj8qE1FLuLTf7Xjf9sdIHzoa,/bfccQmQWNFQYRv4PHgCnjDu7PXn.jpg,-OFKC3nv0oQ 
34,283235,99 Homes,Greed is the only game in town.,2014-10-09,cHKquMw8tT7eOjWb1ecR41soLzD,/8ktGralwXXc2ourCxK9lEqGilTn.jpg,sfttvNCIJvE 
35,453,A Beautiful Mind,He saw the world in a way no one could have imagined.,2001-12-11,zwzWCmH72OSC9NA0ipoqw5Zjya8,/9PwUQZDHGPKsgbnoBl1Ah9zXWjk.jpg,WFJgUm7iOKw 
36,381289,A Dog's Purpose,Every dog happens for a reason.,2017-01-19,3jcNvhtVQe5Neoffdic39fRactM,/2ddVTlMyATZdvUHE7DPExA2X6xF.jpg,1jLOOCADTGs 
37,375183,A Family Man,What are you working for?,2017-05-18,hCUrI8v523NQDJNKoDxGq2nvbvw,/fQaJ5YxldrvJ7xq8EWKKT58B652.jpg,H2T3FMTEI-Q 
38,881,A Few Good Men,In the heart of the nation's capital.. in a courthouse of the U.S. government.. one man will stop at nothing to keep his honor.. and one will stop at nothing to find the truth.,1992-12-11,rLOk4z9zL1tTukIYV56P94aZXKk,/H40nWdJngUc6gtytMAbElm9HOu.jpg,2T2pyqrr8UM uTE592ryZx4 
